"","Tanggal","Curah_Hujan","Nama_Stasiun"
"411",2008-02-15,0,"Pegasing"
"412",2008-02-16,0,"Pegasing"
"413",2008-02-17,0,"Pegasing"
"414",2008-02-18,0,"Pegasing"
"415",2008-02-19,0,"Pegasing"
"416",2008-02-20,0,"Pegasing"
"417",2008-02-21,0,"Pegasing"
"418",2008-02-22,10,"Pegasing"
"419",2008-02-23,0,"Pegasing"
"420",2008-02-24,20,"Pegasing"
"421",2008-02-25,0,"Pegasing"
"422",2008-02-26,0,"Pegasing"
"423",2008-02-27,20,"Pegasing"
"424",2008-02-28,0,"Pegasing"
"425",2008-02-29,0,"Pegasing"
"426",2008-03-01,103.5,"Pegasing"
"427",2008-03-02,27,"Pegasing"
"428",2008-03-03,44,"Pegasing"
"429",2008-03-04,1.39,"Pegasing"
"430",2008-03-05,23.5,"Pegasing"
"431",2008-03-06,56,"Pegasing"
"432",2008-03-07,87,"Pegasing"
"433",2008-03-08,23,"Pegasing"
"434",2008-03-09,11,"Pegasing"
"435",2008-03-10,25,"Pegasing"
"436",2008-03-11,59,"Pegasing"
"437",2008-03-12,10,"Pegasing"
"438",2008-03-13,46,"Pegasing"
"439",2008-03-14,26,"Pegasing"
"440",2008-03-15,0,"Pegasing"
"441",2008-03-16,15,"Pegasing"
"442",2008-03-17,0,"Pegasing"
"443",2008-03-18,0,"Pegasing"
"444",2008-03-19,0,"Pegasing"
"445",2008-03-20,9,"Pegasing"
"446",2008-03-21,0,"Pegasing"
"447",2008-03-22,0,"Pegasing"
"448",2008-03-23,61,"Pegasing"
"449",2008-03-24,0,"Pegasing"
"450",2008-03-25,0.5,"Pegasing"
"451",2008-03-26,0,"Pegasing"
"452",2008-03-27,0,"Pegasing"
"453",2008-03-28,0,"Pegasing"
"454",2008-03-29,0,"Pegasing"
"455",2008-03-30,0,"Pegasing"
"456",2008-03-31,0,"Pegasing"
"457",2008-04-01,22,"Pegasing"
"458",2008-04-02,0,"Pegasing"
"459",2008-04-03,0,"Pegasing"
"460",2008-04-04,49,"Pegasing"
"461",2008-04-05,47,"Pegasing"
"462",2008-04-06,69.5,"Pegasing"
"463",2008-04-07,0,"Pegasing"
"464",2008-04-08,0,"Pegasing"
"465",2008-04-09,0,"Pegasing"
"466",2008-04-10,0,"Pegasing"
"467",2008-04-11,0,"Pegasing"
"468",2008-04-12,0,"Pegasing"
"469",2008-04-13,1.15,"Pegasing"
"470",2008-04-14,0,"Pegasing"
"471",2008-04-15,12,"Pegasing"
"472",2008-04-16,0,"Pegasing"
"473",2008-04-17,0,"Pegasing"
"474",2008-04-18,0,"Pegasing"
"475",2008-04-19,0,"Pegasing"
"476",2008-04-20,0,"Pegasing"
"477",2008-04-21,0.8,"Pegasing"
"478",2008-04-22,0,"Pegasing"
